Eye,Average Diameter,Minimum Diameter,Contraction Rate,Contraction Speed,Expansion Speed
Left,4.8871,3.5866,26.6094,1.5221,0.3191
Right,5.1317,3.3356,34.9991,1.5905,0.3766
