Diameter,Time
5.750595,0
5.754608,0.0188351
5.771393,0.0388018
5.778244,0.0579983
5.780014,0.07877459
5.783997,0.0978758
5.80455,0.1173008
5.80806,0.1363172
5.776962,0.1551576
5.727524,0.1741051
5.725754,0.1930455
5.780319,0.212286
5.70401,0.2320738
5.672531,0.2510793
5.638214,0.2699575
5.641678,0.2913509
5.63681,0.3107837
5.642944,0.3296659
5.643921,0.3499694
5.659378,0.3693507
5.637207,0.3890771
5.603882,0.4079248
5.510925,0.4267971
5.408615,0.4451787
5.300232,0.4641324
5.266693,0.4836039
5.19783,0.5043918
5.09581,0.5241855
5.021469,0.5441108
4.871933,0.5634717
4.830887,0.582925
4.744354,0.6085246
4.647812,0.6278169
4.627823,0.6460199
4.556549,0.6650568
4.192139,0.6838195
4.173279,0.7048628
4.112854,0.7239431
4.098846,0.7433621
4.077133,0.7620682
4.010468,0.7809807
4.008133,0.7993772
3.968262,0.8186791
3.932892,0.8372752
3.909775,0.8572041
3.895538,0.8760295
3.711517,0.8949884
3.703384,0.9163538
3.674622,0.9348432
3.680084,0.9542384
3.629852,0.9733006
3.559006,0.9924242
3.569977,1.013051
3.539322,1.032191
3.485321,1.051867
3.469757,1.070792
3.464813,1.089747
3.448608,1.108339
3.443283,1.128545
3.40773,1.14972
3.366486,1.167772
3.357574,1.185881
3.318527,1.205043
3.305328,1.22481
3.293091,1.244033
3.268341,1.264207
3.226868,1.283714
3.226364,1.302131
3.198273,1.320771
3.198669,1.341764
3.187744,1.361197
3.198975,1.380208
3.167038,1.398173
3.159958,1.417405
3.144943,1.437204
3.13205,1.455935
3.107925,1.475421
3.101151,1.494923
3.02832,1.513834
2.961716,1.532931
3.01796,1.55399
3.015869,1.573695
2.962494,1.592641
2.93515,1.611469
2.926208,1.62962
2.923401,1.648565
2.911591,1.667521
2.902084,1.686344
2.885361,1.704312
2.86261,1.722343
2.856934,1.741509
2.835205,1.762306
2.79538,1.830306
2.778885,1.850054
2.768677,1.869099
2.76796,1.888118
2.75676,1.907303
2.740662,1.926954
2.757965,1.946853
2.763504,1.967735
2.76358,1.987403
2.726624,2.006521
2.713135,2.025298
2.711624,2.044555
2.702408,2.063602
2.703415,2.082505
2.689117,2.10057
2.689941,2.119344
2.682709,2.138794
2.663864,2.158419
2.660873,2.178979
2.637115,2.197179
2.626221,2.21629
2.648804,2.235112
2.655777,2.255119
2.65593,2.273963
2.64798,2.292917
2.651321,2.312267
2.648544,2.331896
2.628311,2.350707
2.624161,2.369739
2.619675,2.391412
2.622894,2.411084
2.623383,2.428103
2.62207,2.446972
2.622086,2.467782
2.621475,2.485821
2.621735,2.505457
2.623169,2.52439
2.62326,2.543419
2.623688,2.562467
2.608032,2.581705
2.608917,2.602864
2.60881,2.622648
2.608627,2.640866
2.622391,2.659914
2.629395,2.679195
2.629898,2.698411
2.613327,2.718366
2.609146,2.737841
2.613892,2.757617
2.606018,2.776065
2.576538,2.795048
2.554688,2.815847
2.556229,2.835282
2.559662,2.854074
2.55925,2.874057
2.554245,2.893349
2.557556,2.913882
2.554092,2.933357
2.531693,2.952327
2.531555,2.97114
2.527145,2.990075
2.540604,3.009168
2.544586,3.030032
2.554443,3.048977
2.572632,3.068113
2.570282,3.086945
2.569473,3.106183
2.576096,3.125236
2.602905,3.144354
2.582062,3.163839
2.61525,3.182881
2.614273,3.201654
2.614609,3.220357
2.584503,3.241449
2.571655,3.260361
2.569321,3.278857
2.55278,3.298008
2.529343,3.31713
2.527191,3.337108
2.527756,3.356776
2.530136,3.376633
2.549652,3.39582
2.550064,3.414692
2.562378,3.433735
2.563736,3.4545
2.564667,3.474718
2.570892,3.494968
2.571075,3.51376
2.566223,3.53234
2.571457,3.550961
2.571884,3.569761
2.58316,3.588197
2.572159,3.607554
2.53447,3.626255
2.533554,3.64532
2.534592,3.665748
2.534775,3.685276
2.531021,3.703764
2.531265,3.722436
2.529144,3.741739
2.529678,3.760813
2.529388,3.780605
2.503708,3.799131
2.503601,3.818244
2.503021,3.837496
2.529388,3.856037
2.528564,3.876844
2.507919,3.895219
2.508026,3.914806
2.529495,3.933759
2.534348,3.953131
2.529312,3.972806
2.534531,3.991857
2.529221,4.010796
2.563721,4.030264
2.56366,4.049335
2.509705,4.068295
2.501419,4.087588
2.514267,4.107048
