Average Diameter,Time
5.687851,0.0203043
5.688484,0.0429907
5.694244,0.0620427
5.696602,0.0808201
5.696078,0.1012415
5.69958,0.1208026
5.702092,0.1396688
5.702749,0.158831
5.700916,0.1778949
5.683671,0.1965886
5.682566,0.2158974
5.681482,0.2465719
5.678634,0.2657793
5.674159,0.2867998
5.671877,0.305515
5.669913,0.3232786
5.668169,0.342158
5.666718,0.3621818
5.665616,0.3856067
5.665952,0.4072589
5.665408,0.429714
5.658893,0.4542266
5.6476,0.4733561
5.645018,0.495446
5.639665,0.518492
5.634916,0.5403146
5.632754,0.5624043
5.629382,0.5843261
5.625687,0.6074989
5.622069,0.6294022
5.61868,0.6514446
5.616289,0.67535
5.614146,0.6955058
5.612568,0.7172044
5.61132,0.7364703
5.610479,0.7537571
5.609724,0.7724724
5.609246,0.791582
5.608809,0.810165
5.608394,0.8292738
5.604327,0.8483961
5.603136,0.8672572
5.603145,0.8883134
5.602983,0.9072876
5.603343,0.9262878
5.603825,0.9450681
5.603895,0.965342
5.603441,0.9844282
5.603079,1.003405
5.602739,1.022552
5.602591,1.04227
5.602273,1.060355
5.602022,1.079598
5.601754,1.101229
5.601441,1.120513
5.601169,1.13927
5.600934,1.158109
5.600723,1.177333
5.600556,1.197034
5.600275,1.214881
5.60008,1.233944
5.600121,1.25308
5.600133,1.271875
5.600214,1.290812
5.600355,1.311658
5.600646,1.3298
5.600995,1.348693
5.601314,1.36753
5.601582,1.386551
5.60166,1.405622
5.601714,1.423573
5.601764,1.442344
5.601083,1.461593
5.601768,1.48042
5.601741,1.499207
5.601472,1.52022
5.601353,1.539549
5.601336,1.559429
5.601375,1.578468
5.601372,1.597479
5.601437,1.616438
5.601446,1.634972
5.60144,1.654713
5.601366,1.674362
5.601282,1.693638
5.601208,1.714068
5.601095,1.735678
5.600807,1.755428
5.600541,1.775143
5.600271,1.794704
5.60021,1.814048
5.599979,1.834442
5.600352,1.853343
5.600327,1.87257
5.600348,1.891502
5.60034,1.910404
5.600333,1.929464
5.599665,1.950871
5.59921,1.969863
5.599095,1.988454
5.600591,2.007444
5.601455,2.026179
5.602317,2.045543
5.601971,2.065158
5.602265,2.083163
5.60234,2.101551
5.602927,2.120346
5.60385,2.140149
5.604554,2.160919
5.605339,2.18002
5.606124,2.199623
5.606865,2.218585
5.607622,2.238235
5.60723,2.257337
5.608033,2.2764
5.60913,2.295399
5.61022,2.313194
5.611471,2.33109
5.612431,2.351557
5.613156,2.373071
5.613639,2.39271
5.613827,2.412436
5.614633,2.429893
5.615422,2.44913
5.61602,2.468742
5.616565,2.488524
5.617262,2.507145
5.617637,2.527068
5.619288,2.546699
5.619917,2.56569
5.621066,2.586888
5.622456,2.60667
5.622667,2.625528
5.622576,2.644455
5.622551,2.664114
5.622533,2.683198
5.623704,2.702385
5.624952,2.721185
5.623621,2.739944
5.62334,2.759296
5.623701,2.777742
5.623904,2.798148
5.624271,2.817498
5.623827,2.837147
5.623579,2.855613
5.6234,2.874127
5.623132,2.893464
5.622916,2.913124
5.622728,2.932652
5.622591,2.951079
5.622509,2.970151
5.622355,2.989629
5.622012,3.010737
5.621665,3.029787
5.621312,3.049145
5.620966,3.068145
5.620567,3.087211
5.620168,3.106183
5.619828,3.125074
5.619467,3.144284
5.619286,3.179595
5.619063,3.198393
5.618762,3.219206
5.618436,3.2384
5.618127,3.25761
5.617871,3.276669
5.617567,3.294653
5.617254,3.313423
5.616935,3.33168
5.616614,3.349332
5.616405,3.367314
5.616075,3.386323
5.61575,3.404741
5.615425,3.426172
5.614834,3.445269
5.614252,3.464172
5.614339,3.483066
5.61413,3.501297
5.614032,3.519526
5.614103,3.539458
5.614126,3.558253
5.614055,3.577091
5.613835,3.596652
5.61361,3.615209
5.61331,3.636056
5.612878,3.655684
5.612382,3.675264
5.611864,3.694341
5.611381,3.713096
5.610842,3.731996
5.610314,3.751187
5.609762,3.770158
5.609255,3.789577
5.608752,3.808683
5.609683,3.828736
5.610604,3.850142
5.611549,3.869596
5.612353,3.889282
5.613424,3.909178
5.614244,3.928199
5.61515,3.948221
5.615994,3.966938
5.616928,3.986414
5.617743,4.0057
5.618548,4.02502
5.619346,4.043889
5.620124,4.065161
5.620862,4.083004
5.621603,4.10213
5.622336,4.121896
5.622971,4.141738
5.623677,4.160007
5.624299,4.179017
5.625006,4.204547
5.625406,4.22378
5.626464,4.242424
5.625685,4.261468
5.625788,4.280944
5.625354,4.300138
5.62507,4.319365
5.625267,4.339452
5.625441,4.360104
5.625614,4.379292
5.625786,4.398314
5.625955,4.417171
5.62618,4.43629
5.626948,4.455187
5.627435,4.474062
5.627624,4.495626
5.6278,4.515468
5.62781,4.534992
5.627707,4.554505
5.627604,4.574541
5.627491,4.593474
5.6273,4.612317
5.627184,4.630381
5.627077,4.649296
5.626982,4.668247
5.626873,4.687315
5.626803,4.707936
5.627167,4.727439
5.627535,4.746537
5.627904,4.765251
5.628279,4.784209
5.628671,4.80335
5.628644,4.822357
5.628902,4.842241
5.629049,4.861378
5.629096,4.880219
5.629134,4.899281
5.629586,4.920341
5.630014,4.93824
5.630474,4.957048
5.630848,4.975948
5.631185,4.995241
5.631577,5.014152
5.632226,5.033326
5.632609,5.054161
5.632792,5.073186
5.633116,5.090915
5.633459,5.109324
5.633849,5.130703
5.634347,5.149441
5.634938,5.168165
5.635571,5.18618
5.6362,5.203985
5.636828,5.223105
5.63745,5.241837
5.638115,5.261551
5.638785,5.280499
5.63944,5.298967
5.640093,5.317671
5.640594,5.338364
5.641083,5.356424
5.641552,5.375777
5.642022,5.394711
5.642482,5.413678
5.64292,5.431976
5.643342,5.4505
5.64374,5.469445
5.644135,5.488469
5.644411,5.508245
5.644729,5.526688
5.645083,5.546565
5.645472,5.565846
5.645869,5.585273
5.646264,5.605665
5.646671,5.625351
5.647123,5.644532
5.647579,5.663824
5.648028,5.682343
5.648473,5.70044
5.648901,5.718566
5.649287,5.736661
5.649697,5.757673
5.650095,5.775602
5.650494,5.793303
5.65089,5.8125
5.651268,5.832149
5.651651,5.85077
5.652113,5.87036
5.652531,5.917862
5.652942,5.937206
5.653388,5.957836
5.653844,5.976988
5.654338,5.995893
5.654823,6.01485
5.655338,6.03368
5.655825,6.052973
5.656308,6.071804
5.656824,6.090806
5.657349,6.109632
5.657823,6.127562
5.658303,6.14642
5.658793,6.168118
5.659278,6.187516
5.659762,6.207359
5.660239,6.226251
5.660719,6.245545
5.661197,6.265638
5.661654,6.285473
5.662103,6.30544
5.662549,6.32509
5.663044,6.344213
5.663602,6.363111
5.664157,6.383847
5.664716,6.403277
5.665277,6.421482
5.665833,6.440592
5.666387,6.459305
5.666926,6.478549
5.667459,6.497551
5.667986,6.516369
5.668494,6.535527
5.66896,6.555277
5.669425,6.57409
5.669916,6.595367
5.670419,6.614698
5.670935,6.633745
5.671457,6.653196
5.67197,6.672089
5.672481,6.690897
5.67298,6.710029
5.673474,6.729756
5.673925,6.748564
5.67435,6.767319
5.674803,6.785326
