Eye,Average Diameter,Minimum Diameter,Contraction Rate,Contraction Speed,Expansion Speed,Latency
Left,5.8102,2.5011,56.9533,1.9112,0.2503,0.4836
Right,5.8061,2.5550,55.9944,2.2310,0.2880,0.4452
