Diameter,Time
5.906265,0
5.905792,0.0188351
5.90419,0.0388018
5.884079,0.0579983
5.859604,0.07877459
5.846329,0.0978758
5.829208,0.1173008
5.827209,0.1363172
5.880814,0.1551576
5.7332,0.1741051
5.901794,0.1930455
5.89502,0.212286
5.840759,0.2320738
5.902252,0.2510793
5.909607,0.2699575
5.774475,0.2913509
5.751678,0.3107837
5.568176,0.3296659
5.590012,0.3499694
5.563629,0.3693507
5.531158,0.3890771
5.480011,0.4079248
5.357498,0.4267971
5.248993,0.4451787
5.210358,0.4641324
5.018051,0.4836039
4.999817,0.5043918
4.981506,0.5241855
4.92305,0.5441108
4.870163,0.5634717
4.73024,0.582925
4.628754,0.6085246
4.531281,0.6278169
4.427216,0.6460199
4.402237,0.6650568
4.241226,0.6838195
4.191605,0.7048628
4.181732,0.7239431
3.981277,0.7433621
4.100784,0.7620682
3.956726,0.7809807
3.936615,0.7993772
3.898422,0.8186791
3.887985,0.8372752
3.880692,0.8572041
3.854462,0.8760295
3.609909,0.8949884
3.596741,0.9163538
3.512772,0.9348432
3.513519,0.9542384
3.432434,0.9733006
3.375412,0.9924242
3.331741,1.013051
3.362671,1.032191
3.37114,1.051867
3.372025,1.070792
3.373947,1.089747
3.404129,1.108339
3.402115,1.128545
3.395737,1.14972
3.369675,1.167772
3.3573,1.185881
3.34758,1.205043
3.32576,1.22481
3.286545,1.244033
3.285721,1.264207
3.271133,1.283714
3.269699,1.302131
3.258865,1.320771
3.243149,1.341764
3.232315,1.361197
3.232162,1.380208
3.1427,1.398173
3.136505,1.417405
3.103012,1.437204
3.088211,1.455935
3.066757,1.475421
3.053024,1.494923
2.979446,1.513834
2.992905,1.532931
2.974838,1.55399
2.87851,1.573695
2.887238,1.592641
2.88765,1.611469
2.878769,1.62962
2.877029,1.648565
2.863724,1.667521
2.850494,1.686344
2.83371,1.704312
2.826797,1.722343
2.816711,1.741509
2.816132,1.762306
2.786194,1.830306
2.785645,1.850054
2.78447,1.869099
2.764969,1.888118
2.748276,1.907303
2.733292,1.926954
2.726349,1.946853
2.716461,1.967735
2.712051,1.987403
2.719193,2.006521
2.69725,2.025298
2.696152,2.044555
2.691437,2.063602
2.68338,2.082505
2.667572,2.10057
2.665665,2.119344
2.628067,2.138794
2.627655,2.158419
2.627502,2.178979
2.62616,2.197179
2.626541,2.21629
2.62674,2.235112
2.617996,2.255119
2.617004,2.273963
2.616913,2.292917
2.606171,2.312267
2.596008,2.331896
2.58934,2.350707
2.589218,2.369739
2.576141,2.391412
2.573059,2.411084
2.570419,2.428103
2.570633,2.446972
2.593018,2.467782
2.592651,2.485821
2.593002,2.505457
2.59816,2.52439
2.597137,2.543419
2.609802,2.562467
2.609848,2.581705
2.610153,2.602864
2.610718,2.622648
2.616684,2.640866
2.614792,2.659914
2.61203,2.679195
2.611313,2.698411
2.611176,2.718366
2.606705,2.737841
2.600082,2.757617
2.598343,2.776065
2.586227,2.795048
2.586395,2.815847
2.585861,2.835282
2.577927,2.854074
2.559494,2.874057
2.555328,2.893349
2.567551,2.913882
2.561417,2.933357
2.559082,2.952327
2.55542,2.97114
2.555298,2.990075
2.560242,3.009168
2.555191,3.030032
