Diameter,Time
3.589325,1.671053
3.612991,1.69244
3.590256,1.712976
3.613663,1.733879
3.62204,1.755228
3.626892,1.776638
3.624664,1.797866
3.620941,1.820516
3.632187,1.841592
3.632065,1.863281
3.636124,1.883786
3.634628,1.904709
3.637939,1.927156
3.642441,1.948803
3.634521,1.970765
3.63475,1.991712
3.634476,2.012787
3.640518,2.035573
3.643723,2.056573
3.648834,2.077568
3.653885,2.098929
3.65094,2.120007
3.648209,2.142378
3.645691,2.162941
3.663376,2.185364
3.677032,2.20698
3.689774,2.228828
3.716827,2.252484
3.728058,2.273578
3.739532,2.294185
3.74025,2.315033
3.741196,2.335952
3.741089,2.357945
3.740158,2.379459
3.721115,2.400428
3.717056,2.420419
3.701492,2.441401
3.694077,2.464125
3.694077,2.485154
3.68248,2.506154
3.67572,2.528142
3.674332,2.548916
3.664871,2.570134
3.623703,2.591393
3.619797,2.613117
3.612671,2.635006
3.61264,2.655914
3.619583,2.677997
3.622055,2.699165
3.635193,2.720228
3.658386,2.74102
3.661835,2.762193
3.682678,2.78362
3.675201,2.804274
3.687561,2.826334
3.688583,2.847285
3.69841,2.868526
3.700104,2.891196
3.723297,2.912401
3.744751,2.933261
3.745422,2.954277
3.761154,2.976255
3.761597,2.997158
3.761444,3.018106
3.759048,3.039008
3.751495,3.061334
3.759796,3.081899
3.752823,3.104554
3.737625,3.125744
3.732132,3.146696
3.714066,3.167666
3.696991,3.188724
3.700546,3.209195
3.697342,3.232224
3.697891,3.253013
3.692001,3.273834
3.723495,3.294948
3.729935,3.31981
3.729279,3.340671
3.739883,3.362297
3.75177,3.384269
3.759323,3.406274
3.759949,3.427841
3.772858,3.448776
3.781876,3.471248
3.803986,3.49277
3.816589,3.513878
3.816025,3.536387
3.822449,3.557471
3.851883,3.579277
3.867798,3.601106
3.867645,3.621986
3.905807,3.644525
3.924332,3.666517
3.945831,3.687267
3.979324,3.708669
3.988953,3.729635
4.041214,3.75254
4.079742,3.77431
4.118103,3.796021
4.136658,3.81748
4.179611,3.838684
4.199982,3.860763
4.322418,3.882539
4.339722,3.903245
4.399002,3.925062
4.36554,3.946455
4.335587,3.969765
4.346939,3.991292
4.346924,4.013276
4.358734,4.034771
4.388229,4.054686
4.390503,4.077015
4.392578,4.097276
4.44809,4.117782
4.479614,4.138703
4.292969,4.160079
4.381668,4.182756
4.330215,4.204166
4.439255,4.225914
4.482407,4.246943
4.509979,4.268816
4.525665,4.289755
4.517593,4.310741
4.533371,4.332618
4.533371,4.353453
4.520584,4.375429
4.527313,4.398405
4.516922,4.420098
4.494797,4.446543
4.599854,4.46787
4.459625,4.489796
4.520569,4.510986
4.548386,4.532687
4.561646,4.553652
4.560867,4.574619
4.566467,4.596163
4.582001,4.618806
4.595444,4.639968
4.609772,4.660886
4.598404,4.682777
4.616074,4.702762
4.628769,4.723645
4.710953,4.745668
4.694977,4.767039
4.708755,4.7869
4.697418,4.807951
4.740463,4.83186
4.753052,4.852708
4.824799,4.873222
4.843353,4.893434
4.845001,4.914886
4.843796,4.937078
4.839737,4.958509
4.820938,4.979242
4.821655,4.999261
4.807831,5.019314
4.819214,5.041744
4.820358,5.063013
4.827271,5.083866
4.845734,5.105863
4.824387,5.126816
