Eye,Average Diameter,Minimum Diameter,Contraction Rate,Contraction Speed,Expansion Speed,Latency
Left,4.7609,2.1956,53.8823,1.3017,0.5760,0.5422
Right,4.9030,2.0100,59.0049,0.6745,0.2204,0.7641
