Average Diameter,Time
0,0.0198079
0,0.0401954
3.548996,0.0587807
3.601791,0.0769908
3.703023,0.0978597
3.799446,0.119726
3.887314,0.1387418
3.96081,0.1584654
3.993992,0.1761134
3.994549,0.1952852
3.966644,0.2141919
3.951912,0.2330314
3.93213,0.2532094
3.9221,0.2760028
3.914758,0.2982701
3.914758,0.3222711
3.914758,0.3419222
3.901295,0.3643836
3.888562,0.3871731
3.872788,0.4091837
3.862072,0.4310628
3.850544,0.4533632
3.838141,0.4761927
3.82854,0.4983211
3.813904,0.5220298
3.800613,0.5423514
3.788115,0.5640464
3.780582,0.5870516
3.768531,0.6089814
3.755882,0.6308568
3.743678,0.6529689
3.732542,0.6763487
3.722508,0.6981073
3.7131,0.7171206
3.702061,0.7375715
3.69923,0.7574045
3.69923,0.7761666
3.69923,0.7943779
3.69923,0.813523
3.69923,0.8322388
3.69923,0.8521777
3.69923,0.8711636
3.69923,0.8902639
3.69923,0.9091373
3.69923,0.9279702
3.69923,0.9487972
3.69923,0.9678218
3.69923,0.9880645
3.69923,1.006354
3.69923,1.025223
3.688862,1.044255
3.682644,1.062089
3.681714,1.081019
3.676254,1.10001
3.670482,1.120053
3.66802,1.139177
3.668159,1.16103
3.668159,1.180429
3.668159,1.198323
3.669444,1.217492
3.669644,1.236175
3.67,1.255168
3.672534,1.273887
3.674982,1.292987
3.677338,1.312486
3.679594,1.330103
3.681859,1.349191
3.684232,1.370971
3.686437,1.390174
3.688404,1.409521
3.690332,1.428073
3.69248,1.446133
3.695245,1.465088
3.698425,1.484001
3.701495,1.503167
3.704546,1.522285
3.707687,1.54124
3.712473,1.560133
3.717046,1.581104
3.720399,1.600057
3.724178,1.618824
3.72794,1.636904
3.731921,1.655268
3.735794,1.674305
3.739917,1.692965
3.744206,1.71204
3.748387,1.730997
3.752251,1.749927
3.755825,1.768961
3.758425,1.790398
3.762916,1.809929
3.763454,1.829292
3.764205,1.848503
3.765909,1.867043
3.767705,1.88615
3.769025,1.905247
3.770337,1.924421
3.771853,1.943538
3.773407,1.962901
3.77485,1.981864
3.776094,2.001987
3.77756,2.021132
3.778976,2.038978
3.780111,2.058124
3.781229,2.077107
3.7821,2.095926
3.783183,2.114352
3.787116,2.133152
3.789495,2.152241
3.792621,2.171959
3.795658,2.190965
3.798668,2.211804
3.801615,2.230475
3.804633,2.249045
3.80777,2.268121
3.811121,2.286978
3.81476,2.304702
3.818196,2.323337
3.821686,2.342751
3.825173,2.361309
3.828038,2.379954
3.83086,2.398503
3.832561,2.419334
3.834642,2.43822
3.838861,2.457341
3.842464,2.475959
3.845312,2.494186
3.848158,2.513867
3.851079,2.532245
3.853831,2.551906
3.856586,2.569968
3.859317,2.588298
3.861976,2.607326
3.86458,2.628295
3.867289,2.648436
3.870084,2.66814
3.872846,2.686544
3.875428,2.704689
3.878113,2.724247
3.880754,2.74316
3.883463,2.762166
3.886224,2.780156
3.88894,2.799042
3.891196,2.817995
3.894215,2.837816
3.897362,2.856749
3.900957,2.876283
3.904066,2.894012
3.907084,2.913094
3.909804,2.93196
3.912558,2.950818
3.915231,2.969995
3.917854,2.988926
3.920293,3.008046
3.922695,3.026363
3.925102,3.048338
3.927506,3.067972
3.929899,3.08725
3.932315,3.106115
3.934702,3.125301
3.937229,3.144444
3.939726,3.162894
