Diameter,Time
5.20993,0
5.20929,0.0200432
5.193039,0.0406209
5.192627,0.0591545
5.189011,0.0782013
5.206177,0.09708031
5.155975,0.1182957
5.160812,0.137035
5.28392,0.1558405
5.272385,0.1749643
5.218246,0.1937567
5.147415,0.2129754
5.375824,0.2318165
5.425964,0.2509606
5.317215,0.2700228
5.160263,0.2896563
5.141022,0.3097905
5.11409,0.3305265
5.080933,0.349753
5.156876,0.3686185
4.941864,0.3877241
4.995392,0.4068866
4.923462,0.4256897
4.901443,0.4450277
4.899857,0.4636099
4.852676,0.4830845
4.835159,0.5027609
4.808395,0.5215465
4.723923,0.5422351
4.609085,0.5618475
4.577972,0.5811922
4.545273,0.6005675
4.497772,0.619659
4.477554,0.6387436
4.47699,0.6576492
4.449692,0.6773688
4.419418,0.6960039
4.455185,0.7422501
4.440735,0.7641314
4.375931,0.7831287
4.373688,0.8023329
4.311264,0.821655
4.244705,0.840429
4.194931,0.8598159
4.196152,0.8780473
4.208801,0.8961237
4.186874,0.9146126
4.013199,0.9336976
3.854645,0.9524345
4.314438,0.9739457
4.142227,0.993376
4.141113,1.012375
4.152313,1.030521
3.921509,1.04827
4.226257,1.066254
4.228241,1.085059
4.174469,1.103235
4.177643,1.121051
4.147522,1.140423
4.145126,1.160792
4.024582,1.181425
4.024582,1.200561
4.024582,1.219415
3.991592,1.238483
4.167664,1.256261
3.941223,1.274282
3.620377,1.29402
3.554703,1.313407
3.512848,1.332124
3.518646,1.35196
3.519867,1.370466
3.489746,1.391907
3.469528,1.410963
3.493759,1.428949
3.526566,1.448127
3.556686,1.466748
3.506561,1.485697
3.506317,1.505758
3.50621,1.523727
3.505112,1.542336
3.487549,1.561118
3.360138,1.581226
3.375656,1.601754
3.398712,1.620869
3.38681,1.639905
3.379303,1.658815
3.345856,1.6778
3.347824,1.695749
3.350494,1.714743
3.113647,1.733714
3.115967,1.752583
3.129761,1.772049
3.135605,1.791113
3.150146,1.813068
3.126175,1.832016
3.118332,1.850213
3.123276,1.869062
3.118652,1.888785
3.111282,1.90768
3.0728,1.926929
3.046677,1.944977
3.046692,1.964026
3.04158,1.983299
3.009811,2.002914
2.988464,2.024343
2.869064,2.044015
2.860229,2.062257
2.856491,2.081257
2.847519,2.100919
2.848419,2.11928
2.931656,2.13844
2.911789,2.157993
3.004044,2.17719
3.038803,2.196434
3.122482,2.215822
3.061768,2.236441
3.060593,2.255028
3.083435,2.272859
3.076599,2.290771
3.111435,2.309845
3.179092,2.329137
3.086334,2.347862
3.086777,2.365839
3.047958,2.384815
3.020264,2.403964
2.902756,2.424242
2.885956,2.445148
2.866302,2.463853
2.808838,2.483039
2.791046,2.501854
2.772369,2.520319
2.754669,2.539917
2.754669,2.55881
2.760681,2.578064
2.779785,2.597543
2.803497,2.616648
2.882599,2.635493
2.35202,2.656428
2.67514,2.675887
2.792023,2.695117
2.823608,2.714042
2.794281,2.731878
2.723892,2.751131
2.683975,2.770629
2.680649,2.789504
2.640747,2.808171
2.629303,2.827877
2.586151,2.846814
2.553284,2.86757
2.494232,2.887951
2.418274,2.905699
2.433945,2.924726
2.408447,2.943851
2.406433,2.963649
2.406982,2.98283
2.408112,3.000452
2.411926,3.019455
2.412598,3.037225
2.399597,3.056336
2.397858,3.075749
2.399658,3.095478
2.400238,3.11423
2.400223,3.133155
2.40036,3.150987
2.39978,3.169937
2.401688,3.189099
2.616364,3.208695
2.806519,3.227606
2.804428,3.246078
2.803741,3.263998
2.781372,3.283811
2.72113,3.30321
2.721436,3.322164
2.634445,3.341108
2.637665,3.360037
2.639908,3.378612
2.57399,3.397623
2.638885,3.416768
2.638885,3.43573
2.639343,3.455013
2.58725,3.473714
2.539902,3.494195
2.54686,3.511895
2.546997,3.530659
2.547623,3.550276
2.546524,3.569915
2.547592,3.588688
2.659012,3.60815
2.628082,3.628181
2.573395,3.645988
2.428131,3.664652
3.116928,3.683625
3.065201,3.704001
2.957825,3.724406
2.907654,3.744345
2.942093,3.763319
2.970673,3.7829
3.03186,3.802237
2.970276,3.820946
2.948029,3.839946
2.909576,3.858799
2.907516,3.877775
2.861649,3.896614
2.852493,3.917024
2.811249,3.936126
2.833237,3.955143
2.384735,3.974106
2.215042,3.993225
2.197372,4.012219
2.214157,4.031037
2.385376,4.050499
2.383743,4.069265
2.387024,4.088431
2.416275,4.107534
2.359192,4.129155
2.359543,4.148222
2.411697,4.166219
2.358841,4.186031
2.359024,4.20519
2.353989,4.224501
2.354233,4.243703
2.360748,4.262636
2.359955,4.281634
2.37088,4.301001
2.378708,4.319582
2.402023,4.340669
2.54805,4.360319
2.741333,4.379307
2.820175,4.398247
2.813446,4.418079
2.809509,4.436858
2.804657,4.455797
2.798584,4.474625
2.787125,4.493638
2.766647,4.512567
2.758942,4.531656
2.750641,4.552142
2.745193,4.571866
2.72847,4.591016
2.680573,4.609776
