Diameter,Time
2.197403,8.775798
2.428101,8.795121
2.266388,8.813467
2.353546,8.833055
2.272385,8.852695
2.307663,8.871538
2.303177,8.890542
2.304321,8.908918
2.30159,8.927759
2.290649,8.946158
2.288208,8.966502
2.284576,8.987087
2.26091,9.006992
2.252182,9.02656
2.261444,9.045538
2.259033,9.06462
2.265793,9.083575
2.256577,9.102815
2.241608,9.122855
2.233276,9.141589
2.233429,9.160573
2.243439,9.181158
2.243729,9.199481
2.244507,9.217683
2.24472,9.236383
2.256989,9.25382
2.277466,9.273197
2.277313,9.292286
2.301193,9.311038
2.315994,9.33067
2.309525,9.349558
2.344788,9.368645
2.309723,9.389514
2.300003,9.409568
2.374359,9.428454
2.33345,9.447569
2.366669,9.466517
2.375229,9.485442
2.385727,9.503932
2.409897,9.521815
2.440231,9.541054
2.438873,9.560308
2.443359,9.578998
2.474014,9.599689
2.520691,9.618814
2.547562,9.636842
2.600861,9.655854
2.600723,9.674768
2.379471,9.692553
2.379471,9.711727
2.379471,9.730511
2.690277,9.7496
2.690842,9.7675
2.691071,9.787039
2.660706,9.807771
2.644974,9.826984
2.645096,9.844834
2.631439,9.864402
2.615997,9.883214
2.615829,9.902026
2.600998,9.921444
2.604538,9.939903
2.57045,9.958065
2.57045,9.977148
2.57045,9.996074
2.409363,10.0165
2.517838,10.03595
2.480164,10.05488
2.48909,10.07299
2.4673,10.09184
2.47821,10.11077
2.483414,10.12985
2.477463,10.14865
2.477509,10.16754
2.477661,10.18653
2.492432,10.20613
2.491318,10.22597
2.496323,10.24567
2.5177,10.26475
2.5186,10.2836
2.51915,10.30276
2.509018,10.32169
2.508652,10.34063
2.497604,10.35939
2.500839,10.37849
2.498138,10.39746
2.497742,10.41734
2.500031,10.43921
2.486557,10.4587
2.500381,10.47725
2.499786,10.49637
2.553558,10.51473
2.553238,10.53261
2.556824,10.55152
2.578583,10.56935
2.717651,10.58901
2.877258,10.60695
3.050415,10.62591
2.944687,10.6468
3.002319,10.66584
3.004349,10.68498
3.014648,10.70496
3.014862,10.72598
3.005951,10.74685
3.00444,10.76935
2.990067,10.78845
2.988541,10.80836
2.988419,10.82947
3.007797,10.85126
3.049667,10.87134
3.07579,10.89059
3.0802,10.90956
3.088058,10.92961
3.314438,10.94925
3.138657,10.96824
3.277359,10.98812
3.390518,11.00892
3.158737,11.02791
3.178009,11.047
3.185226,11.06903
3.189957,11.08907
3.203827,11.10874
3.212936,11.12782
3.216965,11.14684
3.220901,11.16579
3.221817,11.18452
3.235657,11.20423
3.23111,11.22466
3.226929,11.24478
3.18306,11.2635
3.214249,11.28403
3.198074,11.30341
3.186569,11.32277
3.199768,11.34317
3.212341,11.36221
3.627106,11.38123
3.353729,11.40024
3.302902,11.42151
3.032227,11.44104
2.869247,11.45986
2.983414,11.47983
3.129761,11.50045
3.064301,11.51986
3.060425,11.53881
3.065704,11.5589
3.068375,11.57872
3.137878,11.59751
3.129471,11.6165
3.157623,11.63555
3.251038,11.65338
3.27449,11.6726
