Average Diameter,Time
0,0.0198079
0,0.0401954
0,0.0587807
4.364212,0.0769908
4.245857,0.0978597
4.271606,0.119726
4.287415,0.1387418
4.312164,0.1584654
4.324076,0.1761134
4.332541,0.1952852
4.336565,0.2141919
4.329017,0.2330314
4.319211,0.2532094
4.308113,0.2760028
4.290335,0.2982701
4.290335,0.3222711
4.290335,0.3419222
4.27874,0.3643836
4.24587,0.3871731
4.221502,0.4091837
4.199029,0.4310628
4.180398,0.4533632
4.162014,0.4761927
4.153479,0.4983211
4.135791,0.5220298
4.119729,0.5423514
4.105171,0.5640464
4.090366,0.5870516
4.078413,0.6089814
4.068119,0.6308568
4.059194,0.6529689
4.050499,0.6763487
4.041669,0.6981073
4.033418,0.7171206
4.02363,0.7375715
4.02622,0.7574045
4.02622,0.7761666
4.02622,0.7943779
4.02622,0.813523
4.02622,0.8322388
4.02622,0.8521777
4.02622,0.8711636
4.02622,0.8902639
4.02622,0.9091373
4.02622,0.9279702
4.02622,0.9487972
4.02622,0.9678218
4.02622,0.9880645
4.02622,1.006354
4.02622,1.025223
4.021436,1.044255
4.020014,1.062089
4.019015,1.081019
4.015164,1.10001
4.009104,1.120053
4.004158,1.139177
4.001935,1.16103
4.001935,1.180429
4.001935,1.198323
4.006218,1.217492
4.006929,1.236175
4.008312,1.255168
4.009274,1.273887
4.012691,1.292987
4.015555,1.312486
4.018262,1.330103
4.020827,1.349191
4.020246,1.370971
4.022003,1.390174
4.022067,1.409521
4.021423,1.428073
4.021451,1.446133
4.021461,1.465088
4.021482,1.484001
4.022283,1.503167
4.023799,1.522285
4.027143,1.54124
4.034629,1.560133
4.041317,1.581104
4.047672,1.600057
4.05374,1.618824
4.059605,1.636904
4.065266,1.655268
4.070524,1.674305
4.074726,1.692965
4.078732,1.71204
4.082394,1.730997
4.085934,1.749927
4.088666,1.768961
4.092857,1.790398
4.094978,1.809929
4.097149,1.829292
4.100219,1.848503
4.1014,1.867043
4.102307,1.88615
4.103052,1.905247
4.103633,1.924421
4.104171,1.943538
4.104789,1.962901
4.105391,1.981864
4.106145,2.001987
4.106886,2.021132
4.107615,2.038978
4.108492,2.058124
4.109315,2.077107
4.110211,2.095926
4.111286,2.114352
4.112326,2.133152
4.113405,2.152241
4.114474,2.171959
4.115685,2.190965
4.116956,2.211804
4.118203,2.230475
4.119417,2.249045
4.120616,2.268121
4.121794,2.286978
4.123063,2.304702
4.124348,2.323337
4.125598,2.342751
4.127282,2.361309
4.129037,2.379954
4.130723,2.398503
4.132926,2.419334
4.132988,2.43822
4.136687,2.457341
4.140944,2.475959
4.145132,2.494186
4.148074,2.513867
4.151168,2.532245
4.153829,2.551906
4.156163,2.569968
4.158731,2.588298
4.161472,2.607326
4.164241,2.628295
4.166709,2.648436
4.169099,2.66814
4.171794,2.686544
4.175298,2.704689
4.178792,2.724247
4.182141,2.74316
4.185325,2.762166
4.188455,2.780156
4.191678,2.799042
4.194643,2.817995
4.196961,2.837816
4.198982,2.856749
4.201111,2.876283
4.203013,2.894012
4.204778,2.913094
4.206536,2.93196
4.208267,2.950818
4.209951,2.969995
4.211554,2.988926
4.213059,3.008046
4.21452,3.026363
4.215713,3.048338
4.216873,3.067972
4.217867,3.08725
4.218963,3.106115
4.219862,3.125301
4.220936,3.144444
4.222619,3.162894
4.224288,3.182222
