Diameter,Time
5.943314,0
5.94928,0.0181185
5.954971,0.0385557
5.900162,0.0566476
6.009842,0.0755612
6.037033,0.0953334
6.128906,0.1141974
5.988876,0.1355276
5.988876,0.154131
5.988876,0.1730746
5.988876,0.1909649
5.988876,0.2089457
5.988876,0.2278373
5.988876,0.246758
5.988876,0.265788
5.612976,0.2840494
5.811295,0.3029417
5.815552,0.3219607
5.581833,0.3426884
5.649643,0.3618891
5.560257,0.3796942
5.685028,0.3988545
5.595123,0.4176996
5.591644,0.436899
5.324524,0.4549364
5.267624,0.4728056
5.210602,0.4916698
5.157303,0.5106236
5.164154,0.5296993
5.1521,0.549332
5.134964,0.5680616
5.087051,0.5868533
4.960373,0.6046876
4.894699,0.6236446
4.880615,0.6421373
4.861954,0.6596196
4.813263,0.6774771
4.797806,0.6961319
4.671143,0.7140135
4.59375,0.732012
4.548828,0.7530286
4.50119,0.7709082
4.451355,0.7887117
4.413391,0.8064141
4.343857,0.8243653
4.331985,0.8422915
4.311127,0.8602347
4.260147,0.8781297
4.209961,0.8966208
4.151886,0.9145359
4.086578,0.932551
4.072433,0.9523002
4.060638,0.9713885
3.971909,0.9902513
3.963928,1.007953
3.958008,1.025999
3.925644,1.043788
3.892563,1.062798
3.692963,1.080759
3.752045,1.098896
3.752045,1.116695
3.685974,1.134591
3.667038,1.154463
3.6604,1.172169
3.617126,1.190574
3.618057,1.208288
3.60495,1.226313
3.595535,1.245327
3.598572,1.264289
3.546249,1.282809
3.543015,1.30062
3.53772,1.318696
3.517258,1.336576
3.496979,1.356581
3.497101,1.374506
3.497833,1.393121
3.497604,1.410609
3.497696,1.429629
3.472275,1.447586
3.468719,1.465851
3.46843,1.484378
3.45932,1.502366
3.279572,1.519873
3.336441,1.539094
3.36203,1.559708
3.40477,1.578639
3.410309,1.596215
3.380295,1.613988
3.358871,1.632097
3.363098,1.650052
3.367905,1.668247
3.367493,1.686261
3.367981,1.703587
3.365784,1.721619
3.359833,1.740777
3.355331,1.760309
3.351196,1.779628
3.350159,1.79728
3.33548,1.815187
3.319153,1.833099
3.31842,1.851237
3.318085,1.869981
3.311417,1.888793
3.293701,1.906782
3.287369,1.924662
3.282181,1.942622
3.256271,1.961902
3.255753,1.979539
3.231262,1.998153
3.180344,2.016007
3.227356,2.034007
3.268494,2.053061
3.265808,2.070918
3.26561,2.088849
3.263092,2.106799
3.262955,2.124711
3.255127,2.142807
3.26268,2.162365
3.199234,2.180644
3.242905,2.198855
3.235474,2.216887
3.138611,2.234822
3.086044,2.2537
3.088623,2.271866
3.046646,2.290579
3.050186,2.308621
2.95929,2.327053
2.999786,2.344895
2.961838,2.364763
2.986313,2.38337
2.983536,2.401181
2.972534,2.420133
2.979446,2.438811
2.949158,2.457482
2.949158,2.476452
2.991074,2.496373
3.019989,2.514284
2.986237,2.531927
2.986237,2.549431
2.986237,2.570603
2.986237,2.588324
2.986237,2.607454
2.986237,2.626172
2.986237,2.645094
2.986237,2.663092
2.986237,2.680994
2.986237,2.699067
2.986877,2.717031
2.925659,2.735155
2.984589,2.754076
3.075562,2.773874
3.070847,2.792178
3.204041,2.810061
3.177368,2.828085
3.243225,2.845876
3.307877,2.863981
3.300888,2.881886
3.2798,2.900003
