Diameter,Time
2.492615,3.82005
2.680099,3.838631
2.595627,3.857525
2.582123,3.875858
2.594116,3.894202
2.560852,3.912007
2.562531,3.930018
2.572052,3.948018
2.545227,3.966645
2.61972,3.984545
2.619904,4.004469
2.614197,4.022052
2.597076,4.04096
2.566162,4.058998
2.783844,4.076906
2.806732,4.09483
2.553391,4.112816
2.839783,4.130978
2.786728,4.148763
2.705612,4.166649
2.729568,4.18567
2.780579,4.204577
2.781097,4.222112
2.812927,4.241086
2.791306,4.260077
2.764526,4.279018
2.766815,4.296854
2.766479,4.314703
2.708862,4.332713
2.709122,4.350648
2.709656,4.369821
2.752243,4.387428
2.778641,4.410496
2.797333,4.429605
2.727921,4.44827
2.727921,4.466203
2.727921,4.484506
2.727921,4.503532
2.727921,4.521002
2.727921,4.538684
2.727921,4.556856
2.727921,4.574677
2.727921,4.592593
2.727921,4.611506
2.727921,4.62934
2.727921,4.648639
2.727921,4.666551
2.861649,4.684845
2.826401,4.702559
2.795837,4.720558
2.792801,4.739851
2.798523,4.757551
2.798996,4.77696
2.800644,4.795813
2.845078,4.815134
2.846588,4.833625
2.67952,4.852624
2.771454,4.870609
2.770264,4.888601
2.774078,4.906529
2.77948,4.924229
2.778992,4.942103
2.793274,4.960255
2.803909,4.977955
2.807236,4.996675
2.900925,5.015941
2.898148,5.033706
3.126083,5.051959
3.038925,5.070392
3.011475,5.088134
3.034042,5.106711
3.052582,5.125515
2.946793,5.144462
3.06517,5.162329
3.028229,5.180024
3.020996,5.19763
3.068237,5.217199
3.076187,5.236013
3.062744,5.254931
3.157578,5.272989
3.145279,5.292015
3.089981,5.309808
3.111923,5.32771
3.108551,5.345746
3.042465,5.364727
2.998901,5.383512
2.999435,5.401483
2.866531,5.420959
3.019623,5.438779
3.019623,5.456558
3.019623,5.474365
3.019623,5.492432
3.019623,5.51029
3.019623,5.528383
3.019623,5.546668
3.019623,5.565652
2.901215,5.584163
2.837082,5.603433
2.806854,5.623805
3.005859,5.642108
2.856522,5.660126
2.928955,5.677966
2.936295,5.696012
2.947983,5.713891
2.948944,5.732975
2.951004,5.750788
2.953751,5.76994
2.964828,5.78885
2.982056,5.807013
2.983261,5.826151
2.982162,5.843664
2.982239,5.861946
2.982742,5.879542
2.763702,5.89756
2.72496,5.915513
2.795029,5.933466
2.741791,5.951029
2.720749,5.968885
2.709381,5.988201
2.719223,6.006727
2.719238,6.024614
2.719528,6.044829
2.720352,6.062389
2.720917,6.080356
2.713425,6.097959
2.71347,6.116019
2.709396,6.133762
2.710602,6.152768
2.809128,6.170788
2.742111,6.188624
2.716537,6.206836
2.713943,6.224887
2.716751,6.24544
2.710602,6.263783
2.705246,6.281531
2.682465,6.299479
2.659348,6.317274
2.62352,6.335886
2.624603,6.354529
2.611526,6.373512
2.628662,6.391794
2.628662,6.409631
2.628281,6.427764
2.559799,6.447645
2.613647,6.466924
2.578201,6.484907
2.575226,6.503888
2.607285,6.521749
2.608383,6.540009
2.603745,6.557828
2.603745,6.57572
2.600266,6.593811
2.583252,6.611528
2.583588,6.629526
2.584106,6.649237
2.583954,6.669772
2.610336,6.689689
2.613647,6.708614
2.613541,6.726687
2.619232,6.744572
2.623367,6.762845
2.768585,6.780648
2.849487,6.798615
2.957794,6.816584
3.027145,6.834548
3.097778,6.854949
3.173416,6.873961
3.013992,6.892661
3.193756,6.91052
3.229645,6.928417
3.232437,6.946484
3.216644,6.964704
3.207626,6.983165
3.211182,7.0018
3.211151,7.019679
3.235428,7.037834
3.24408,7.057978
3.244568,7.075522
3.282059,7.094286
3.295273,7.111813
3.324265,7.129777
3.325027,7.14766
3.27951,7.165504
3.312866,7.183649
3.340363,7.201643
3.296524,7.219916
3.233414,7.238501
3.287277,7.258531
3.327454,7.276412
3.190414,7.294941
3.222946,7.312852
3.194122,7.33079
3.165604,7.350584
3.16687,7.368515
3.202103,7.38739
3.178802,7.405737
3.068695,7.424144
3.182358,7.442012
3.150848,7.461187
3.29657,7.479566
3.206848,7.498477
3.208664,7.516479
3.208755,7.53503
3.194672,7.55314
3.199936,7.57123
3.195984,7.590491
3.17395,7.609416
3.165695,7.627942
3.160995,7.646973
3.164902,7.666142
3.168121,7.683689
3.178894,7.702745
3.208496,7.720642
3.214096,7.738884
3.218475,7.756735
3.239883,7.775589
3.123779,7.793552
3.246216,7.811462
3.364777,7.829713
3.296188,7.847517
3.318695,7.866859
3.34285,7.885446
3.342514,7.904069
3.342514,7.921913
3.367737,7.939662
3.379211,7.95763
3.388855,7.975863
3.388733,7.993585
3.390167,8.011273
3.390198,8.030844
3.389084,8.048676
3.385834,8.067713
3.385681,8.08554
3.375031,8.103959
3.369598,8.123442
3.365051,8.141424
3.327591,8.159318
3.325302,8.177781
3.310593,8.196182
3.300995,8.213776
3.385818,8.232016
3.292328,8.249547
3.333908,8.268852
3.335007,8.286443
3.237747,8.304607
3.237198,8.323416
3.276047,8.341402
3.21228,8.359346
3.305756,8.378702
3.290756,8.396966
3.268707,8.41489
3.256912,8.432794
3.256271,8.450865
3.251495,8.470459
3.25798,8.488729
3.262314,8.506662
3.277023,8.524725
3.29425,8.542658
3.285126,8.561692
3.308807,8.579491
3.317062,8.597978
3.4077,8.615779
3.314941,8.634906
3.335251,8.653164
3.341461,8.671968
3.34259,8.6906
3.20256,8.708552
3.175049,8.726773
3.237686,8.744762
3.117294,8.763708
3.006943,8.781373
2.914673,8.799875
2.944046,8.818383
2.988403,8.836592
2.988342,8.8546
3.028564,8.874964
3.028564,8.892513
2.967972,8.911345
3.004898,8.930837
3.034576,8.948751
