Average Diameter,Time
6.142838,0.0140506
6.13945,0.0351235
6.112783,0.0539747
6.10323,0.0729211
6.083627,0.09327751
6.075417,0.1119224
6.069713,0.1310159
6.065353,0.1486933
6.061954,0.1667168
6.058543,0.1846
6.05725,0.2049929
6.056352,0.2241904
6.055313,0.2417214
6.055694,0.263582
6.05633,0.2861431
6.056518,0.3081218
6.056179,0.3311068
6.048674,0.3530425
6.047191,0.3747945
6.051074,0.3968675
6.056208,0.4224269
6.058357,0.4410108
6.068633,0.4641149
6.072869,0.4860517
6.075865,0.5079739
6.077029,0.5299858
6.078736,0.552615
6.07976,0.574695
6.079947,0.5966117
6.081008,0.6202803
6.082111,0.6434421
6.083801,0.6636626
6.085444,0.6858848
6.087203,0.7077875
6.088994,0.725652
6.090665,0.7449849
6.091669,0.7626932
6.092562,0.7811593
6.093328,0.7990677
6.09363,0.8175243
6.094106,0.8360761
6.090479,0.8560655
6.089033,0.8739845
6.089033,0.891886
6.089033,0.9098643
6.089033,0.9276772
6.089033,0.9455586
6.089033,0.9636166
6.09048,0.9815614
6.087167,1.00053
6.083067,1.019064
6.082373,1.036648
6.080447,1.056195
6.076379,1.075763
6.074855,1.094566
6.072399,1.112183
6.070037,1.129883
6.067411,1.148803
6.063927,1.167761
6.06016,1.186085
6.055494,1.204147
6.0459,1.222111
6.036756,1.239694
6.027835,1.258925
6.022732,1.277199
6.012799,1.296222
6.0046,1.314085
5.997195,1.331996
5.990373,1.349486
5.9854,1.367707
5.981289,1.385726
5.972237,1.403668
5.960391,1.421608
5.949617,1.439537
5.941858,1.458703
5.930817,1.480017
5.92047,1.499073
5.914628,1.516419
5.908035,1.53484
5.902139,1.553723
5.895595,1.572544
5.889957,1.590602
5.883926,1.608675
5.879365,1.626379
5.873288,1.645142
5.867463,1.663084
5.861665,1.682934
5.855344,1.70093
5.847367,1.719076
5.843961,1.736938
5.838958,1.755898
5.836564,1.773755
5.833336,1.791318
5.828269,1.809587
5.82577,1.827945
5.822859,1.845602
5.818456,1.864176
5.815243,1.883844
5.812868,1.902027
5.81029,1.919976
5.807773,1.938092
5.806379,1.955848
5.804461,1.973759
5.80145,1.992719
5.798,2.010815
5.796543,2.028677
5.793946,2.047934
5.790765,2.065831
5.788623,2.085711
5.789251,2.103673
5.789251,2.121597
5.789251,2.139612
5.789251,2.158771
5.78475,2.176676
5.780867,2.194622
5.775757,2.212485
5.776508,2.230453
5.773722,2.248666
5.773981,2.266647
5.774617,2.286493
5.775597,2.308528
5.776518,2.327009
5.777514,2.344757
5.778442,2.363723
5.779282,2.382568
5.780073,2.400463
5.780824,2.417691
5.781282,2.436659
5.781659,2.454975
5.781999,2.473821
