Eye,Average Diameter,Minimum Diameter,Contraction Rate,Contraction Speed,Expansion Speed,Latency
Left,5.9407,2.4765,58.3128,1.2983,0.1866,0.5493
Right,5.9431,2.6495,55.4184,1.2897,0.5923,0.4369
