Average Diameter,Time
5.390793,0.0140506
5.397835,0.0351235
5.399317,0.0539747
5.400818,0.0729211
5.404443,0.09327751
5.407789,0.1119224
5.407255,0.1310159
5.406849,0.1486933
5.40661,0.1667168
5.408655,0.1846
5.408545,0.2049929
5.40757,0.2241904
5.407363,0.2417214
5.407674,0.263582
5.408048,0.2861431
5.408131,0.3081218
5.407677,0.3311068
5.407586,0.3530425
5.407579,0.3747945
5.406581,0.3968675
5.403197,0.4224269
5.400321,0.4410108
5.398889,0.4641149
5.401474,0.4860517
5.401826,0.5079739
5.403428,0.5299858
5.404287,0.552615
5.405394,0.574695
5.406625,0.5966117
5.40724,0.6202803
5.407934,0.6434421
5.408471,0.6636626
5.409224,0.6858848
5.410837,0.7077875
5.411582,0.725652
5.413175,0.7449849
5.41458,0.7626932
5.41612,0.7811593
5.418312,0.7990677
5.420613,0.8175243
5.422856,0.8360761
5.427506,0.8560655
5.441889,0.8739845
5.441889,0.891886
5.441889,0.9098643
5.441889,0.9276772
5.441889,0.9455586
5.441889,0.9636166
5.448123,0.9815614
5.455444,1.00053
5.459684,1.019064
5.464497,1.036648
5.467962,1.056195
5.47133,1.075763
5.474529,1.094566
5.477903,1.112183
5.481147,1.129883
5.484001,1.148803
5.486744,1.167761
5.489421,1.186085
5.493824,1.204147
5.496038,1.222111
5.498744,1.239694
5.500777,1.258925
5.50162,1.277199
5.503812,1.296222
5.506447,1.314085
5.509606,1.331996
5.511994,1.349486
5.514095,1.367707
5.515097,1.385726
5.518595,1.403668
5.522633,1.421608
5.52564,1.439537
5.529829,1.458703
5.531805,1.480017
5.534745,1.499073
5.538364,1.516419
5.543637,1.53484
5.547925,1.553723
5.551263,1.572544
5.554686,1.590602
5.557613,1.608675
5.561962,1.626379
5.565913,1.645142
5.571087,1.663084
5.575066,1.682934
5.578602,1.70093
5.582014,1.719076
5.585547,1.736938
5.587703,1.755898
5.589736,1.773755
5.591271,1.791318
5.592732,1.809587
5.593696,1.827945
5.594621,1.845602
5.596875,1.864176
5.598912,1.883844
5.600019,1.902027
5.601407,1.919976
5.602437,1.938092
5.603494,1.955848
5.604537,1.973759
5.605583,1.992719
5.606642,2.010815
5.60771,2.028677
5.608964,2.047934
5.609782,2.065831
5.611785,2.085711
5.614866,2.103673
5.614866,2.121597
5.614866,2.139612
5.614866,2.158771
5.617376,2.176676
5.619418,2.194622
5.621337,2.212485
5.6229,2.230453
5.624234,2.248666
5.625182,2.266647
5.626074,2.286493
5.626465,2.308528
5.626987,2.327009
5.628382,2.344757
5.6288,2.363723
5.629312,2.382568
5.629734,2.400463
5.630148,2.417691
5.630445,2.436659
5.630257,2.454975
5.630971,2.473821
5.631759,2.494369
5.632493,2.513126
5.633093,2.531529
5.633668,2.549654
5.634271,2.568492
5.634383,2.586432
5.634996,2.605139
5.635885,2.624598
5.636679,2.642529
5.637138,2.6605
5.637805,2.678449
5.638468,2.698619
5.63947,2.718563
5.640427,2.73749
5.640534,2.756524
5.641582,2.775586
5.642587,2.79396
5.643064,2.811854
5.643943,2.829787
5.643959,2.847428
5.644193,2.866573
5.644358,2.885655
5.644119,2.905403
5.644056,2.923715
5.643045,2.941493
5.642416,2.959266
5.641564,2.977311
5.64163,2.995209
5.641703,3.013493
5.642066,3.03243
5.642643,3.050288
5.642143,3.068176
5.641642,3.086563
5.640286,3.107601
5.639272,3.126708
5.639789,3.144583
5.639581,3.162679
5.640237,3.180654
5.64105,3.199731
5.641049,3.217654
5.641994,3.235944
5.642612,3.253709
5.643384,3.27183
5.643925,3.289583
5.644296,3.309428
5.644344,3.327718
5.644581,3.345484
5.644371,3.36339
5.644394,3.381767
5.644652,3.399661
5.644857,3.417549
5.645149,3.436539
5.645143,3.454984
5.645162,3.473033
5.645303,3.49158
5.645643,3.511267
5.644193,3.529461
5.643425,3.54824
5.64286,3.566873
5.642882,3.585988
5.642971,3.604548
5.642793,3.622517
5.642155,3.641604
5.642126,3.65948
5.642139,3.67744
5.641961,3.695867
5.642676,3.716251
5.643274,3.734398
5.643975,3.753386
5.644361,3.771264
5.644944,3.7903
5.645407,3.808503
5.646016,3.826456
5.646235,3.845066
5.646452,3.863713
5.64684,3.882608
5.647615,3.900497
5.648187,3.920276
5.648748,3.938032
5.649511,3.956676
5.650174,3.974847
5.650743,3.992624
5.651554,4.010643
5.652375,4.02856
5.653139,4.046581
5.653768,4.064543
5.654376,4.082756
5.655005,4.10078
5.65561,4.121391
5.656255,4.139642
5.656954,4.157655
5.657964,4.17555
5.659227,4.193602
5.660655,4.211559
5.661486,4.229401
5.662285,4.248297
5.664079,4.266389
5.665516,4.285163
5.66734,4.303137
5.668755,4.322865
5.669772,4.34102
5.670955,4.358947
5.672213,4.377094
5.673434,4.394975
5.674645,4.412875
5.675756,4.430874
5.676871,4.448761
5.678002,4.466686
5.679076,4.484748
5.680129,4.503588
5.681186,4.52448
5.682238,4.543166
5.683286,4.561227
5.684515,4.579159
5.686846,4.597117
5.686846,4.61651
5.686846,4.634439
5.686846,4.652869
5.686846,4.670435
5.686846,4.688398
5.686846,4.707482
5.686846,4.726696
5.686846,4.745845
5.686846,4.76391
5.686846,4.781785
5.686846,4.800064
5.686846,4.817982
5.686846,4.835967
5.688009,4.853924
5.689096,4.871961
5.690118,4.889818
5.691082,4.907929
5.692199,4.927698
5.692998,4.946499
5.693793,4.964515
5.694569,4.982312
5.695335,5.000962
5.696043,5.01898
5.696719,5.037466
5.697377,5.055884
5.697377,5.073937
5.697377,5.091793
5.697377,5.109526
5.697377,5.12971
5.697377,5.1474
5.697377,5.165473
5.697377,5.18342
5.697377,5.202561
5.697377,5.220276
5.697377,5.238413
5.697377,5.25633
5.698402,5.274601
5.699653,5.292608
5.69988,5.311175
5.700475,5.330981
5.700919,5.350595
5.701361,5.368514
5.70182,5.386833
5.702044,5.404943
5.702338,5.423246
5.70273,5.440751
5.70312,5.458609
5.703517,5.476487
5.703914,5.494956
5.704312,5.512835
5.704714,5.532793
5.705128,5.551897
5.705368,5.569726
5.705769,5.589032
5.706124,5.607763
5.706479,5.626457
5.706835,5.644633
5.707197,5.663548
5.707335,5.681541
5.707902,5.70048
5.70814,5.71841
5.708745,5.738666
5.709658,5.757782
5.710153,5.777677
5.71155,5.795665
5.71155,5.813386
5.71155,5.831388
5.71155,5.849857
5.71155,5.867907
5.71155,5.885702
5.709613,5.903744
5.706109,5.922744
5.69843,5.942584
5.690376,5.960726
5.686755,5.9796
5.686755,5.997426
5.686755,6.015402
5.686755,6.03377
5.686755,6.051765
5.686755,6.069632
5.686755,6.087554
5.686755,6.105443
5.686755,6.123411
5.686755,6.143285
5.686755,6.160933
5.683419,6.178867
5.681643,6.19692
5.681963,6.214788
5.683178,6.232742
5.683629,6.251712
5.683945,6.26964
5.684297,6.287738
5.684556,6.306636
5.684494,6.324487
5.684334,6.344217
5.684533,6.362467
5.684939,6.380409
5.685291,6.398327
5.685485,6.416906
5.685673,6.435689
5.685862,6.454082
5.686052,6.472177
5.686251,6.489493
5.686435,6.508519
5.686584,6.527661
5.686711,6.547794
5.686836,6.56702
5.687022,6.584949
5.687206,6.602894
5.686921,6.622291
5.687219,6.640212
5.687219,6.658174
5.687219,6.676137
5.687219,6.694085
5.687219,6.711886
5.687219,6.73004
5.687219,6.749714
5.687219,6.767788
5.687219,6.786505
5.687806,6.804258
5.688205,6.822897
5.688565,6.840941
5.68852,6.858809
5.688503,6.877844
5.688411,6.895702
5.688333,6.913611
5.688252,6.931627
5.688201,6.951925
5.688098,6.969954
5.687999,6.98801
5.687883,7.005969
5.687328,7.023443
5.68728,7.041532
5.68728,7.059373
5.68728,7.077177
5.68728,7.095623
5.68728,7.114738
5.68728,7.13393
5.68728,7.154068
5.68772,7.171764
5.688052,7.189855
5.68825,7.207953
5.688331,7.226994
5.688297,7.246365
5.688375,7.266426
5.688525,7.284554
5.688538,7.30241
5.688548,7.32035
5.688556,7.338889
5.688559,7.358625
5.688569,7.377826
5.688578,7.395881
5.688593,7.414445
5.688665,7.432712
5.68879,7.450666
5.688977,7.468616
5.689182,7.48761
5.689396,7.50588
5.689857,7.523663
5.689988,7.541456
5.690167,7.561307
5.690222,7.579351
5.6903,7.597306
5.689912,7.619371
5.689352,7.637225
5.688887,7.656587
5.688381,7.674966
5.687873,7.69276
5.68735,7.711309
5.686799,7.729732
5.686247,7.748659
5.685715,7.768357
5.685184,7.786618
5.684653,7.804381
5.684107,7.822062
5.683719,7.839633
5.682955,7.858099
5.682277,7.875459
5.681414,7.894497
5.680991,7.913676
5.680394,7.932775
5.679895,7.951613
5.679307,7.971652
5.679086,7.990577
