Average Diameter,Time
3.169434,0.019511
3.155151,0.0406102
3.146179,0.0595717
3.141808,0.0797639
3.139487,0.1024662
3.137873,0.1217985
3.135792,0.1413068
3.132551,0.1598779
3.130654,0.178985
3.128668,0.1985194
3.126981,0.2181054
3.125852,0.236095
3.124974,0.255184
3.124017,0.2743088
3.124228,0.2943426
3.124951,0.3155238
3.125601,0.3342617
3.126239,0.353919
3.125799,0.3743402
3.126195,0.3963112
3.125709,0.4180296
3.122883,0.4408367
3.120054,0.4630931
3.116709,0.4859958
3.113332,0.5069726
3.108526,0.5312005
3.104048,0.5516176
3.099851,0.5740867
3.095257,0.5961429
3.090849,0.6177967
3.086634,0.6402284
3.082693,0.6629605
3.078789,0.6850123
3.075019,0.706825
3.071294,0.7297646
3.067692,0.7531406
3.064007,0.7732025
3.060778,0.7959386
3.057795,0.8180385
3.056129,0.8401006
3.053306,0.8620915
3.053363,0.8850285
3.05333,0.9036185
3.05333,0.9233118
3.05333,0.9417399
3.05333,0.9616416
3.05333,0.9796923
3.05333,0.999265
3.05333,1.018404
3.05333,1.036978
3.05333,1.055972
3.050462,1.07495
3.050085,1.09401
3.050038,1.1121
3.050544,1.130862
3.051031,1.150159
3.052907,1.170654
3.052524,1.189398
3.052978,1.208505
3.053445,1.227312
3.053859,1.24526
3.054908,1.263244
3.055332,1.28126
3.055596,1.299056
3.055845,1.317998
3.056053,1.336096
3.056241,1.354684
3.056443,1.375457
3.056857,1.394235
3.057045,1.412149
3.057552,1.430723
3.057816,1.449588
3.058096,1.467901
3.05837,1.485945
3.058629,1.504381
3.058845,1.522536
3.059087,1.540237
3.059325,1.558223
3.059595,1.579214
3.059964,1.597309
3.060331,1.615882
3.060693,1.634811
3.061603,1.653929
3.062485,1.672499
3.063376,1.691545
3.064217,1.710447
3.065031,1.729689
3.065825,1.748913
3.066607,1.767782
3.067394,1.788692
3.068427,1.807588
3.06945,1.826151
3.070606,1.844792
3.071999,1.86388
3.073404,1.881676
3.074701,1.899898
3.075969,1.917905
3.077216,1.935717
3.078535,1.954746
3.080413,1.973898
3.082131,1.993973
3.083962,2.013126
3.085744,2.031117
3.087486,2.0502
3.089116,2.069046
3.090673,2.086887
3.092201,2.105606
3.0937,2.12427
3.095073,2.144495
3.096338,2.162768
3.097576,2.180755
3.098743,2.201658
3.099866,2.219821
3.100889,2.238133
3.101803,2.258087
3.10233,2.276628
3.102837,2.295578
3.102956,2.314807
3.102983,2.334365
3.102916,2.353611
3.10285,2.372635
3.102547,2.39019
3.10217,2.409966
3.10178,2.429129
3.101486,2.448835
3.10112,2.467716
3.100759,2.487187
3.1004,2.506019
3.100123,2.525175
3.100118,2.544193
3.099988,2.563476
3.099947,2.584415
3.099976,2.604005
3.099922,2.625046
3.099865,2.644078
3.099706,2.663645
3.099632,2.683119
3.09947,2.702581
3.09916,2.721311
3.098934,2.740019
3.098757,2.760034
3.098587,2.778926
3.098329,2.797837
3.098013,2.816868
3.097746,2.837382
3.097527,2.856522
3.097311,2.875381
3.097097,2.894891
3.096913,2.914225
3.096766,2.93342
3.097169,2.952262
3.097592,2.971158
3.098052,2.99023
3.098631,3.009173
3.099323,3.028512
3.100051,3.048771
3.100824,3.068119
3.101588,3.086589
3.102652,3.106197
3.104657,3.124072
3.106279,3.143754
3.108434,3.163218
3.110144,3.181489
3.112144,3.200063
3.114124,3.219458
3.11611,3.236833
3.118188,3.257921
3.120606,3.276823
3.122903,3.295232
3.124614,3.313205
3.12657,3.332095
3.128389,3.35104
3.130124,3.369876
3.131768,3.389105
3.133511,3.408936
3.13521,3.426841
3.136823,3.445724
3.138498,3.465804
3.140266,3.484374
3.142152,3.504142
3.144264,3.522197
3.146454,3.540121
3.148729,3.558044
3.151138,3.576962
3.153647,3.595831
3.156157,3.614407
3.159081,3.63336
3.161708,3.652326
3.164315,3.67372
3.16692,3.693047
3.17004,3.711894
3.17342,3.731037
3.176487,3.750307
3.179519,3.769881
3.182371,3.788749
3.185416,3.807916
3.188446,3.826734
3.191431,3.845835
3.194318,3.865592
3.197282,3.886195
3.20031,3.904642
3.202909,3.922915
3.206247,3.941675
3.209631,3.961391
3.213021,3.979114
3.216327,3.998203
3.219581,4.017213
3.222797,4.035543
3.225985,4.0551
3.228982,4.073979
3.23237,4.094083
3.23571,4.112882
3.238915,4.13133
3.242151,4.150844
3.245361,4.169808
3.2485,4.187734
3.2516,4.207122
3.254593,4.224831
