Eye,Average Diameter,Minimum Diameter,Contraction Rate,Contraction Speed,Expansion Speed,Latency
Left,5.4973,1.5230,72.2960,2.2262,0.9853,0.4085
Right,5.2438,2.2755,56.6065,1.3255,0.2518,0.4282
