Diameter,Time
6.156845,0
6.075363,0.0183957
6.12912,0.0400122
6.007889,0.0600234
6.00795,0.0789023
6.001389,0.1002415
6.036331,0.1197824
6.4944,0.1388437
6.4944,0.1579201
6.4944,0.1768647
6.4944,0.1957307
6.4944,0.2145453
6.4944,0.2337219
6.4944,0.2523416
6.4944,0.2714054
5.925156,0.2913817
6.048492,0.3123076
6.154312,0.3311645
6.152679,0.3504034
5.81665,0.3696183
5.339081,0.389623
5.78833,0.4085343
4.716766,0.4281697
5.32048,0.4474274
5.4879,0.4667818
5.4879,0.4855742
5.4879,0.5042905
5.4879,0.5253395
5.605713,0.5449445
5.414688,0.5658113
5.256973,0.5852841
5.396683,0.6042253
5.475113,0.6231732
5.44545,0.6425706
5.160553,0.6612052
5.067337,0.6802036
4.830307,0.6993402
5.10672,0.7182464
4.788208,0.7390854
4.69368,0.7583883
4.393188,0.7773078
4.44841,0.7961326
4.167374,0.8151754
4.393112,0.8350575
4.412491,0.8540631
4.250168,0.8735448
4.040634,0.8924726
3.874176,0.9117999
3.9879,0.9313246
3.958847,0.9521165
3.959854,0.9712353
3.92659,0.99028
3.918152,1.009338
3.884277,1.027661
3.870026,1.04658
3.862076,1.065268
3.795959,1.084126
3.795715,1.103111
3.56282,1.122096
3.641296,1.141254
3.641022,1.163223
3.645874,1.182695
3.595032,1.201458
3.605698,1.220597
3.557953,1.24014
3.546631,1.25815
3.526596,1.277061
3.521317,1.295948
3.530472,1.315197
3.525665,1.333973
3.514557,1.352286
3.37056,1.374061
3.316528,1.393072
3.203903,1.412079
3.203766,1.430002
3.309448,1.448998
3.289673,1.468254
3.31044,1.487258
3.311234,1.506138
3.300735,1.524233
3.301102,1.543246
3.285767,1.563563
3.286774,1.584592
3.290649,1.603277
3.277924,1.621631
3.225311,1.640521
3.226196,1.659496
3.228058,1.678451
3.176971,1.697265
3.157181,1.716372
3.152817,1.735666
3.105301,1.755424
3.102203,1.774252
3.044678,1.794684
3.041428,1.8138
3.032761,1.833397
3.032547,1.852257
3.012573,1.871348
3.012711,1.890542
2.998825,1.909643
2.99913,1.929202
2.999603,1.949409
3.006638,1.968413
3.000046,1.987447
3.007065,2.008146
